# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Nov 18 13:35:34 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.015 0.00898 7.00000 0.0900000036 1.0816895962    0.090 -2.067  3.3982  4.004    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.61e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.938 11.955 14.512 10.504
0.015 0.00898 7.00000 0.1000000089 1.1711064577    0.100 -2.004  3.4049  4.014    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.781 11.798 14.359 10.347
0.015 0.00898 7.00000 0.1032661945 1.1978249550    0.103 -1.985  3.4070  4.016    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.02e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.731 11.749 14.310 10.298
0.015 0.00898 7.00000 0.1238235012 1.3440051079    0.124 -1.873  3.4187  4.030    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.68e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.452 11.444 13.979 9.998
0.015 0.00898 7.00000 0.1371590048 1.4229236841    0.137 -1.808  3.4254  4.037    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.11e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.290 11.195 13.632 9.769
0.015 0.00898 7.00000 0.1430475563 1.4546617270    0.143 -1.782  3.4284  4.041    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.27e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.226 11.089 13.479 9.672
0.015 0.00898 7.00000 0.1469533890 1.4747912884    0.147 -1.765  3.4304  4.043    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.4e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.182 11.017 13.375 9.606
0.015 0.00898 7.00000 0.1492145061 1.4861291647    0.149 -1.754  3.4316  4.044    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.5e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.155 10.974 13.317 9.567
0.015 0.00898 7.00000 0.1684230417 1.5742288828    0.168 -1.676  3.4404  4.054    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.15e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 8.959 10.668 12.893 9.286
0.015 0.00898 7.00000 0.1818609536 1.6284418106    0.182 -1.625  3.4464  4.060    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.6e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 8.832 10.467 12.613 9.102
0.015 0.00898 7.00000 0.1964506507 1.6816971302    0.196 -1.575  3.4523  4.067    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.08e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 8.706 10.271 12.341 8.923
0.015 0.00898 7.00000 0.2090866566 1.7238259315    0.209 -1.536  3.4567  4.073    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.45e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 8.609 10.122 12.135 8.788
0.015 0.00898 7.00000 0.2275831401 1.7798632383    0.228 -1.481  3.4629  4.079    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.04e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 8.472 9.916 11.853 8.600
0.015 0.00898 7.00000 0.2477567643 1.8345985413    0.248 -1.426  3.4692  4.087    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.68e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 8.334 9.716 11.583 8.417
0.015 0.00898 7.00000 0.2679358721 1.8838391304    0.268 -1.376  3.4751  4.094    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.28e-15      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 8.210 9.535 11.340 8.252
0.015 0.00898 7.00000 0.2970995903 1.9470688105    0.297 -1.309  3.4831  4.104    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 8.042 9.291 11.011 8.031
0.015 0.00898 7.00000 0.3000000119 1.9529139996    0.300 -1.302  3.4839  4.105    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 8.026 9.268 10.980 8.010
0.015 0.00898 7.00000 0.3184426427 1.9884382486    0.318 -1.265  3.4884  4.112    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.932 9.132 10.795 7.888
0.015 0.00898 7.00000 0.3500000238 2.0434176922    0.350 -1.205  3.4959  4.122    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.781 8.920 10.517 7.696
0.015 0.00898 7.00000 0.3578823507 2.0561506748    0.358 -1.191  3.4975  4.125    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.748 8.874 10.458 7.654
0.015 0.00898 7.00000 0.4000000358 2.1185026169    0.400 -1.121  3.5058  4.137    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.573 8.637 10.153 7.438
0.015 0.00898 7.00000 0.4167646766 2.1409909725    0.417 -1.096  3.5091  4.142    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.510 8.549 10.039 7.358
0.015 0.00898 7.00000 0.4500000477 2.1822810173    0.450 -1.046  3.5155  4.151    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.386 8.379 9.820 7.205
0.015 0.00898 7.00000 0.4737729132 2.2094571590    0.474 -1.015  3.5199  4.160    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.309 8.271 9.678 7.109
0.015 0.00898 7.00000 0.5000000000 2.2374541759    0.500 -0.980  3.5246  4.168    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.221 8.150 9.521 7.001
0.015 0.00898 7.00000 0.5142849684 2.2517108917    0.514 -0.963  3.5275  4.174    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.176 8.085 9.433 6.944
0.015 0.00898 7.00000 0.5446795821 2.2792038918    0.544 -0.926  3.5326  4.182    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.085 7.959 9.270 6.832
0.015 0.00898 7.00000 0.5500000119 2.2836582661    0.550 -0.920  3.5333  4.183    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-14      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 7.070 7.939 9.245 6.814
