# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Dec  1 04:03:59 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 8.80000 0.0900000036 1.0816895962    0.090 -3.321  3.3709  5.149    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.37e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.072 15.123 18.024 13.635
0.0152 0.01508 8.80000 0.0935640633 1.1149786711    0.094 -3.276  3.3781  5.150    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.85e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.960 15.011 17.912 13.522
0.0152 0.01508 8.80000 0.1000000015 1.1711064577    0.100 -3.186  3.3916  5.143    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.02e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.735 14.786 17.684 13.298
0.0152 0.01508 8.80000 0.1135893092 1.2755352259    0.114 -3.026  3.4138  5.126    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.7e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.334 14.384 17.275 12.896
0.0152 0.01508 8.80000 0.1200000122 1.3193155527    0.120 -2.955  3.4237  5.119    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-16      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.157 14.117 16.880 12.650
0.0152 0.01508 8.80000 0.1209495142 1.3255413771    0.121 -2.947  3.4246  5.118    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-16      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.137 14.082 16.826 12.618
0.0152 0.01508 8.80000 0.1400000006 1.4384527206    0.140 -2.783  3.4431  5.092    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.728 13.424 15.834 12.019
0.0152 0.01508 8.80000 0.1563583463 1.5205324888    0.156 -2.676  3.4541  5.076    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.459 13.014 15.238 11.646
0.0152 0.01508 8.80000 0.1599999964 1.5372931957    0.160 -2.651  3.4565  5.071    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-16      0.00 7.090e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.399 12.924 15.107 11.564
0.0152 0.01508 8.80000 0.2000000030 1.6938791275    0.200 -2.438  3.4751  5.029    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.864 12.172 14.063 10.876
