# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Dec  1 04:09:49 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01 -0.17553 8.90000 0.0900000036 1.0816895962    0.090 -3.334  3.3836  5.213    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.84e-17      0.00 7.229e-01 2.671e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 13.106 15.051 18.012 13.567
0.01 -0.17553 8.90000 0.0916174576 1.0970054865    0.092 -3.309  3.3875  5.211    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.11e-17      0.00 7.229e-01 2.671e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 13.041 14.986 17.946 13.503
0.01 -0.17553 8.90000 0.1000000015 1.1711064577    0.100 -3.158  3.4092  5.185    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.12e-17      0.00 7.229e-01 2.671e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 12.665 14.609 17.558 13.127
0.01 -0.17553 8.90000 0.1200000048 1.3193155527    0.120 -2.924  3.4406  5.156    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.15e-16      0.00 7.228e-01 2.672e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 12.081 13.730 16.221 12.320
0.01 -0.17553 8.90000 0.1400000006 1.4384527206    0.140 -2.743  3.4593  5.116    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.69e-16      0.00 7.228e-01 2.672e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.628 13.055 15.208 11.707
0.01 -0.17553 8.90000 0.1599999964 1.5372931957    0.160 -2.601  3.4728  5.086    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-16      0.00 7.227e-01 2.673e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.273 12.551 14.484 11.250
0.01 -0.17553 8.90000 0.1696092635 1.5792375803    0.170 -2.549  3.4777  5.079    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-16      0.00 7.227e-01 2.673e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.142 12.369 14.226 11.084
0.01 -0.17553 8.90000 0.2000000030 1.6938791275    0.200 -2.389  3.4916  5.046    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-16      0.00 7.226e-01 2.674e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.742 11.823 13.473 10.591
0.01 -0.17553 8.90000 0.2154860646 1.7439191341    0.215 -2.323  3.4965  5.032    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-16      0.00 7.225e-01 2.675e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.578 11.614 13.203 10.399
0.01 -0.17553 8.90000 0.2500000000 1.8403258324    0.250 -2.192  3.5062  5.005    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.08e-16      0.00 7.225e-01 2.675e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.250 11.201 12.679 10.020
