# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Dec  1 04:51:52 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.015 0.00898 9.80000 0.0900000036 1.0816895962    0.090 -3.423  3.3627  5.218    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-17      0.00 7.091e-01 2.758e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 13.327 15.380 18.310 13.888
0.015 0.00898 9.80000 0.1000000089 1.1711064577    0.100 -3.240  3.3887  5.185    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.85e-17      0.00 7.088e-01 2.761e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 12.870 14.921 17.838 13.431
0.015 0.00898 9.80000 0.1013319567 1.1821373701    0.101 -3.221  3.3912  5.181    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.1e-17      0.00 7.088e-01 2.761e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 12.822 14.873 17.789 13.383
0.015 0.00898 9.80000 0.1200000048 1.3193155527    0.120 -2.975  3.4237  5.138    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-16      0.00 7.083e-01 2.767e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 12.207 14.165 16.939 12.698
0.015 0.00898 9.80000 0.1400000006 1.4384527206    0.140 -2.791  3.4438  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-16      0.00 7.078e-01 2.771e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 11.749 13.435 15.840 12.032
0.015 0.00898 9.80000 0.1599999964 1.5372931957    0.160 -2.650  3.4574  5.074    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-16      0.00 7.074e-01 2.776e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 11.395 12.909 15.078 11.552
0.015 0.00898 9.80000 0.2000000179 1.6938792467    0.200 -2.433  3.4761  5.028    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-16      0.00 7.066e-01 2.783e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 10.852 12.148 14.025 10.855
0.015 0.00898 9.80000 0.2500000000 1.8403258324    0.250 -2.224  3.4925  4.982    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.84e-16      0.00 7.059e-01 2.790e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 10.331 11.452 13.100 10.218
0.015 0.00898 9.80000 0.3000000119 1.9529139996    0.300 -2.062  3.5031  4.941    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-16      0.00 7.056e-01 2.793e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.924 10.950 12.482 9.750
0.015 0.00898 9.80000 0.3376028538 2.0226180553    0.338 -1.945  3.5097  4.903    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.16e-16      0.00 7.089e-01 2.761e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.633 10.605 12.069 9.425
0.015 0.00898 9.80000 0.3500000238 2.0434176922    0.350 -1.909  3.5117  4.890    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.56e-16      0.00 7.096e-01 2.753e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.542 10.499 11.944 9.325
0.015 0.00898 9.80000 0.4000000358 2.1185026169    0.400 -1.765  3.5228  4.848    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-15      0.00 7.097e-01 2.752e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.182 10.055 11.403 8.915
0.015 0.00898 9.80000 0.4209482968 2.1464200020    0.421 -1.700  3.5281  4.827    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-15      0.00 7.097e-01 2.752e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.020 9.856 11.162 8.731
