# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Dec  1 14:11:06 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.005 -0.48482 10.20000 0.0900000036 1.0816895962    0.090 -3.326  3.4050  5.290    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.349e-01 2.600e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 13.084 14.823 17.834 13.352
0.005 -0.48482 10.20000 0.1000000015 1.1711064577    0.100 -3.117  3.4349  5.246    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.01e-20      0.00 7.338e-01 2.611e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 12.562 14.119 16.749 12.699
0.005 -0.48482 10.20000 0.1199999973 1.3193154335    0.120 -2.849  3.4671  5.187    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.48e-30      0.00 7.320e-01 2.629e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 11.893 13.131 15.165 11.813
0.005 -0.48482 10.20000 0.1400000006 1.4384527206    0.140 -2.663  3.4866  5.145    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-28      0.00 7.303e-01 2.646e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 11.428 12.479 14.193 11.233
0.005 -0.48482 10.20000 0.1599999964 1.5372931957    0.160 -2.518  3.4998  5.111    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.290e-01 2.659e-01 9.173e-04 2.475e-04 2.244e-03 -1.000 5.101e-03 11.065 11.999 13.530 10.803
0.005 -0.48482 10.20000 0.1999999881 1.6938791275    0.200 -2.290  3.5176  5.052    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-24      0.00 7.271e-01 2.678e-01 9.173e-04 2.475e-04 2.244e-03 -1.000 5.101e-03 10.496 11.286 12.614 10.156
0.005 -0.48482 10.20000 0.2500000000 1.8403258324    0.250 -2.077  3.5315  4.992    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-24      0.00 7.265e-01 2.684e-01 9.172e-04 2.475e-04 2.244e-03 -1.000 5.101e-03 9.964 10.658 11.863 9.574
0.005 -0.48482 10.20000 0.3000000119 1.9529139996    0.300 -1.916  3.5411  4.947    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.36e-23      0.00 7.266e-01 2.683e-01 9.172e-04 2.475e-04 2.244e-03 -1.000 5.101e-03 9.559 10.195 11.332 9.140
0.005 -0.48482 10.20000 0.3499999642 2.0434174538    0.350 -1.776  3.5494  4.908    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-24      0.00 7.368e-01 2.581e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 9.210 9.798 10.879 8.767
0.005 -0.48482 10.20000 0.3999999762 2.1185023785    0.400 -1.620  3.5613  4.857    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-24      0.00 7.371e-01 2.578e-01 9.173e-04 2.474e-04 2.244e-03 -1.000 5.101e-03 8.821 9.344 10.353 8.348
